"","StateAb","DivisionID","DivisionNm","PollingPlaceID","PollingPlace","CandidateID","Surname","GivenNm","BallotPosition","Elected","HistoricElected","PartyAb","PartyNm","OrdinaryVotes","Swing"
"177","ACT",102,"Fraser",32463,"Ngunnawal",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",722,3.14
"178","ACT",102,"Fraser",32463,"Ngunnawal",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",1084,-3.14
"179","ACT",102,"Fraser",34239,"Ngunnawal South",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",397,0.38
"180","ACT",102,"Fraser",34239,"Ngunnawal South",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",679,-0.38
"181","ACT",102,"Fraser",32081,"Nicholls",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",1365,3.15
"182","ACT",102,"Fraser",32081,"Nicholls",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",1391,-3.15
"183","ACT",102,"Fraser",38198,"O'Connor",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",316,3.42
"184","ACT",102,"Fraser",38198,"O'Connor",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",625,-3.42
"185","ACT",102,"Fraser",8832,"Page",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",677,1.45
"186","ACT",102,"Fraser",8832,"Page",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",1171,-1.45
"187","ACT",102,"Fraser",31626,"Palmerston",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",827,4.89
"188","ACT",102,"Fraser",31626,"Palmerston",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",1217,-4.89
"189","ACT",102,"Fraser",65743,"Parkes (Fraser)",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",258,-10.05
"190","ACT",102,"Fraser",65743,"Parkes (Fraser)",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",746,10.05
"191","ACT",102,"Fraser",8833,"Reid",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",211,-3.32
"192","ACT",102,"Fraser",8833,"Reid",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",398,3.32
"193","ACT",102,"Fraser",8834,"Scullin",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",380,2.09
"194","ACT",102,"Fraser",8834,"Scullin",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",779,-2.09
"195","ACT",102,"Fraser",32467,"Special Hospital Team 1",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",67,5.37
"196","ACT",102,"Fraser",32467,"Special Hospital Team 1",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",59,-5.37
"197","ACT",102,"Fraser",32468,"Special Hospital Team 2",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",159,1.15
"198","ACT",102,"Fraser",32468,"Special Hospital Team 2",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",167,-1.15
